iter	MAE
0	0.3311340453
1	0.3209691299
2	0.3110696435
3	0.3014522791
4	0.2927230599
5	0.2846101821
6	0.2770487007
7	0.2700328118
8	0.2631116661
9	0.2571247024
10	0.2510337538
11	0.2456281374
12	0.2403795289
13	0.2352343066
14	0.2303650333
15	0.2260843999
16	0.2214971893
17	0.2175110686
18	0.2136712511
19	0.2101688248
20	0.2067048633
21	0.2033944913
22	0.2003647143
23	0.1974643015
24	0.1949898202
25	0.1923310593
26	0.1898420438
27	0.1875911288
28	0.1855589982
29	0.1836632194
30	0.1817417849
31	0.179896609
32	0.1784728344
33	0.1767026785
34	0.175044507
35	0.1736283258
36	0.1722575856
37	0.1709985605
38	0.1698009212
39	0.1685707389
40	0.1675497026
41	0.1664393677
42	0.1655477464
43	0.1645804623
44	0.1635508475
45	0.1626255076
46	0.1617534922
47	0.1609786525
48	0.1601630075
49	0.1593977732
50	0.1587066856
51	0.1580669038
52	0.1573445206
53	0.1567600372
54	0.1560971484
55	0.1553735013
56	0.1547531042
57	0.1542640887
58	0.1537692521
59	0.1532656205
60	0.152808287
61	0.1523897289
62	0.1518890705
63	0.1514613105
64	0.1510863844
65	0.1506744756
66	0.150275401
67	0.1498973719
68	0.149581741
69	0.1492070945
70	0.1488245743
71	0.1484875002
72	0.148139948
73	0.1478452881
74	0.1475888435
75	0.1472326513
76	0.1469115101
77	0.1466093332
78	0.1463554077
79	0.1460354327
80	0.1457419833
81	0.145500795
82	0.1452819024
83	0.1450198434
84	0.1447472842
85	0.1444933107
86	0.1442177349
87	0.1440281426
88	0.1438088841
89	0.1435795062
90	0.1432991879
91	0.1431010127
92	0.1429142457
93	0.1426948679
94	0.1425566863
95	0.1423444778
96	0.1421708327
97	0.1420124651
98	0.1418145208
99	0.1416404927
100	0.1414579555
101	0.1412858562
102	0.1411017626
103	0.1409501946
104	0.140744348
105	0.140591267
106	0.1403954306
107	0.1401830089
108	0.1399600758
109	0.1398354281
110	0.1397020264
111	0.1395840451
112	0.1394460192
113	0.1393041887
114	0.1391644497
115	0.1390417037
116	0.1389124623
117	0.1387771386
118	0.1385974941
119	0.1384425738
120	0.1383245563
121	0.1381807719
122	0.1380225969
123	0.137896557
124	0.1377697374
125	0.1376618625
126	0.1375365705
127	0.137416102
128	0.137304477
129	0.1371247009
130	0.1370257387
131	0.1369166245
132	0.1367774231
133	0.1366982806
134	0.1365966529
135	0.1364945307
136	0.1363238362
137	0.1362081384
138	0.1360908602
139	0.1360020258
140	0.1359425404
141	0.1358452515
142	0.1357606555
143	0.1356606261
144	0.1355451379
145	0.1354490894
146	0.1353623486
147	0.1353043309
148	0.1352139369
149	0.1351304312
150	0.1350630615
151	0.1349734778
152	0.1348929932
153	0.1348001433
154	0.1347090172
155	0.1346377102
156	0.1345349332
157	0.1344426276
158	0.1343764955
159	0.1342950473
160	0.1342004731
161	0.1341374996
162	0.1340368295
163	0.1339451706
164	0.1338666975
165	0.1337411461
166	0.1336602334
167	0.1335761792
168	0.133474209
169	0.1333924214
170	0.1333288665
171	0.13320122
172	0.1330897998
173	0.1330240318
174	0.1329577103
175	0.1328424039
176	0.1327511847
177	0.1326821153
178	0.1326070582
179	0.1325102012
180	0.1324343846
181	0.1323386648
182	0.1322441457
183	0.132160561
184	0.1320611812
185	0.1319875914
186	0.131928492
187	0.1317911415
188	0.1317267828
189	0.1316573444
190	0.1316060046
191	0.1314807981
192	0.1313972458
193	0.1312991447
194	0.131140934
195	0.1310635037
196	0.1310022615
197	0.1309078083
198	0.1308357628
199	0.130702754
200	0.1306246271
201	0.1305601642
202	0.130505855
203	0.1304459727
204	0.13038072
205	0.1303170346
206	0.1302011885
207	0.1300972835
208	0.1299770739
209	0.129875196
210	0.1298165536
211	0.1297327333
212	0.1296784469
213	0.1296208147
214	0.1295423067
215	0.1294767251
216	0.1294364879
217	0.1293553234
218	0.1292936976
219	0.1292044368
220	0.1291206812
221	0.1290334011
222	0.1289436262
223	0.1288786996
224	0.1288188507
225	0.1287251686
226	0.1286548307
227	0.1285951852
228	0.128532466
229	0.1284559799
230	0.1283972086
231	0.1283082125
232	0.1282461559
233	0.1281346053
234	0.128015064
235	0.127957836
236	0.1279011076
237	0.1278299956
238	0.1277489036
239	0.1276750646
240	0.127603768
241	0.1275221527
242	0.1274408815
243	0.1273774671
244	0.1273153341
245	0.1272516936
246	0.1271931564
247	0.1271007264
248	0.1270448394
249	0.1269770183
250	0.1268919714
251	0.1268263706
252	0.1267476657
253	0.126667784
254	0.1265895059
255	0.1265363199
256	0.1264642477
257	0.12638595
258	0.1263380555
259	0.1262808094
260	0.1261945451
261	0.1261160479
262	0.1260666388
263	0.1259750995
264	0.1258929484
265	0.1258076911
266	0.1257483505
267	0.125642343
268	0.1255434787
269	0.1254681989
270	0.1253959198
271	0.1253381812
272	0.1252543354
273	0.1251805873
274	0.1251279487
275	0.1250592884
276	0.1249890305
277	0.1249309518
278	0.1248801943
279	0.1247799156
280	0.1247217788
281	0.1246622244
282	0.1246029661
283	0.1245298177
284	0.1244580311
285	0.1243973225
286	0.1243232613
287	0.1242677318
288	0.1242216654
289	0.1241110581
290	0.1240635014
291	0.1240210385
292	0.1239575547
293	0.1238968209
294	0.1238323945
295	0.1237663457
296	0.123718462
297	0.1236505788
298	0.1235740259
299	0.123500093
300	0.1234241827
301	0.1233772538
302	0.1233171783
303	0.1232574901
304	0.1232087609
305	0.1231637409
306	0.1230851817
307	0.123026199
308	0.122974206
309	0.1229214614
310	0.1228608428
311	0.1227751058
312	0.1227227883
313	0.1226699604
314	0.1226226116
315	0.1225340349
316	0.1224827558
317	0.1224291287
318	0.122387217
319	0.1223160711
320	0.1222713197
321	0.1222173033
322	0.1221482977
323	0.1220986832
324	0.1220423925
325	0.1219218544
326	0.1218592616
327	0.1218070463
328	0.1217583969
329	0.1217035496
330	0.1216559346
331	0.1215947961
332	0.121531501
333	0.12148792
334	0.1214416761
335	0.1213887624
336	0.1213433401
337	0.1212959926
338	0.1212568029
339	0.1212043509
340	0.1211543652
341	0.1211209578
342	0.1210669484
343	0.1210222782
344	0.1209737289
345	0.1208972474
346	0.120847105
347	0.1207903741
348	0.1207394967
349	0.120691895
350	0.1206509622
351	0.1205742323
352	0.1205227269
353	0.1204710778
354	0.1204220832
355	0.1203750795
356	0.1203180936
357	0.1202737089
358	0.1202301505
359	0.1201656228
360	0.1201102525
361	0.1200615451
362	0.1200171677
363	0.1199769289
364	0.1199122095
365	0.1198675796
366	0.119825442
367	0.1197522757
368	0.1196640359
369	0.1196329899
370	0.1195792303
371	0.1195293763
372	0.1194822871
373	0.1194444691
374	0.1193830978
375	0.1193327639
376	0.1192766414
377	0.1192355366
378	0.1191878623
379	0.1191348916
380	0.1190754244
381	0.1190382162
382	0.1189767634
383	0.1189315385
384	0.1188652733
385	0.1188294824
386	0.1187859425
387	0.1187379783
388	0.1186387991
389	0.1185871974
390	0.1185080993
391	0.1184688232
392	0.1184203614
393	0.1183624657
394	0.118327531
395	0.1182902669
396	0.1182411388
397	0.1181943982
398	0.1181484851
399	0.1180966227
400	0.1180547074
401	0.1180150687
402	0.1179594141
403	0.1179058685
404	0.1178741678
405	0.1178355967
406	0.1177912345
407	0.1177484598
408	0.1177090916
409	0.1176591103
410	0.1176013169
411	0.1175527676
412	0.1175118538
413	0.1174438474
414	0.117392675
415	0.1173430163
416	0.1172975574
417	0.1172406073
418	0.1171937744
419	0.1171500866
420	0.1171125147
421	0.1170640709
422	0.1169904514
423	0.1169368569
424	0.1168986515
425	0.116843896
426	0.1168020515
427	0.1167561333
428	0.1167125677
429	0.116667903
430	0.1166272395
431	0.1165969854
432	0.1165547027
433	0.1165139802
434	0.1164747115
435	0.1164339999
436	0.116359346
437	0.116305308
438	0.1162648291
439	0.1162325066
440	0.1161600399
441	0.1161163966
442	0.1160868393
443	0.1160467286
444	0.1160077889
445	0.1159666374
446	0.1159253996
447	0.1158905292
448	0.1158511706
449	0.115812498
450	0.1157786126
451	0.1157414758
452	0.115671295
453	0.1156317035
454	0.1155868833
455	0.1155471466
456	0.1155052372
457	0.1154634024
458	0.1154293673
459	0.1153929195
460	0.1153603275
461	0.1153223893
462	0.1152827249
463	0.1152177374
464	0.1151862036
465	0.1151558829
466	0.1151126426
467	0.1150734734
468	0.1150404644
469	0.1149955862
470	0.1149581694
471	0.1149048404
472	0.114874559
473	0.1148167059
474	0.1147664883
475	0.1147281267
476	0.1146867421
477	0.1146456761
478	0.114611094
479	0.1145597758
480	0.1145262485
481	0.1144989471
482	0.1144658447
483	0.1144156695
484	0.1143864407
485	0.1143494883
486	0.1143024985
487	0.1142642851
488	0.1142321479
489	0.114204649
490	0.114168809
491	0.1141111051
492	0.1140725393
493	0.1140424384
494	0.1140115291
495	0.1139799378
496	0.1139459246
497	0.1139095345
498	0.1138769752
499	0.1138127875
500	0.1137810421
501	0.113751697
502	0.1137231074
503	0.1136991241
504	0.1136689639
505	0.113635329
506	0.1136091231
507	0.1135645507
508	0.1135177244
509	0.1134872966
510	0.1134516488
511	0.1134245283
512	0.1133730774
513	0.1133433978
514	0.1133182916
515	0.1132892485
516	0.1132525982
517	0.1132165764
518	0.1131668187
519	0.1131313356
520	0.1130908373
521	0.1130677625
522	0.1130399004
523	0.1130027787
524	0.1129743546
525	0.1129434244
526	0.1129106413
527	0.1128721209
528	0.1128473958
529	0.1127920731
530	0.1127643668
531	0.1127247715
532	0.1126984561
533	0.1126614926
534	0.1126332401
535	0.1125931406
536	0.1125607736
537	0.1125207582
538	0.1124892571
539	0.1124466532
540	0.1124159715
541	0.112380191
542	0.1123426198
543	0.1122908035
544	0.1122565174
545	0.1122301936
546	0.1122000763
547	0.1121605028
548	0.1121252747
549	0.1120929582
550	0.1120555446
551	0.1120261312
552	0.1119980328
553	0.1119673477
554	0.1119340004
555	0.111909561
556	0.1118784423
557	0.1118544624
558	0.1118310388
559	0.1117901008
560	0.1117546273
561	0.111727743
562	0.1117005951
563	0.1116619871
564	0.111630118
565	0.1116051267
566	0.111574932
567	0.1115483555
568	0.1115270826
569	0.1115014536
570	0.1114733538
571	0.1114491492
572	0.1114163742
573	0.1113898448
574	0.1113639778
575	0.1113336585
576	0.1113046724
577	0.1112505664
578	0.11122172
579	0.1111928334
580	0.1111635511
581	0.1111204721
582	0.1110926635
583	0.1110674988
584	0.1110277271
585	0.1109904101
586	0.1109597173
587	0.1109375189
588	0.1109111421
589	0.1108839441
590	0.1108571118
591	0.1108237676
592	0.1107975594
593	0.1107694937
594	0.110741415
595	0.1107118058
596	0.1106701638
597	0.1106424292
598	0.1106165444
599	0.1105909712
600	0.1105494994
601	0.1105136629
602	0.1104937895
603	0.1104714662
604	0.110442273
605	0.1104205388
606	0.1103961333
607	0.1103645234
608	0.1103424977
609	0.1102972846
610	0.110268342
611	0.1102407032
612	0.1102061455
613	0.1101808323
614	0.1101386205
615	0.1101155722
616	0.1100898233
617	0.1100662709
618	0.1100376123
619	0.1100179385
620	0.1099933688
621	0.1099680219
622	0.1099442235
623	0.1098808909
624	0.1098610434
625	0.1098056439
626	0.1097728252
627	0.1097452391
628	0.1097167859
629	0.1096930855
630	0.1096532986
631	0.1096059247
632	0.1095836767
633	0.1095492433
634	0.1095231957
635	0.1095012903
636	0.109480447
637	0.1094539669
638	0.1094242753
639	0.1093958405
640	0.1093770404
641	0.1093487397
642	0.1093197482
643	0.1092914392
644	0.1092638164
645	0.1092322016
646	0.1092092587
647	0.1091868321
648	0.1091549965
649	0.1091335438
650	0.1091027469
651	0.109080803
652	0.1090558057
653	0.1090317274
654	0.1089994247
655	0.1089576079
656	0.1089200581
657	0.1088979092
658	0.1088738734
659	0.1088445699
660	0.1088202157
661	0.1088027372
662	0.1087779312
663	0.1087595269
664	0.1087297807
665	0.1087034109
666	0.1086732314
667	0.1086376506
668	0.1086127227
669	0.1085791341
670	0.1085559096
671	0.1085293218
672	0.1085105947
673	0.1084794237
674	0.1084540429
675	0.1084304801
676	0.1084077483
677	0.1083777961
678	0.108341809
679	0.1083222912
680	0.108298184
681	0.1082730323
682	0.1082488185
683	0.1082248979
684	0.10820036
685	0.108156916
686	0.1081352902
687	0.1081152737
688	0.1080925393
689	0.108062531
690	0.1080419174
691	0.1080205394
692	0.1080011193
693	0.1079710899
694	0.1079306758
695	0.1079065011
696	0.107883173
697	0.107858322
698	0.1078348003
699	0.1077950448
700	0.1077745232
701	0.1077617311
702	0.1077376263
703	0.1077201599
704	0.1077026098
705	0.1076792214
706	0.1076529941
707	0.1076297712
708	0.1076039051
709	0.1075821144
710	0.1075599324
711	0.1075362633
712	0.1074852004
713	0.1074570318
714	0.1074342234
715	0.1074128765
716	0.1073865247
717	0.107357775
718	0.1073388698
719	0.1073147077
720	0.1072913924
721	0.1072732076
722	0.1072558323
723	0.10723485
724	0.1072155571
725	0.1071963344
726	0.1071724369
727	0.1071537424
728	0.1071259953
729	0.10710629
730	0.1070825102
731	0.1070378296
732	0.1070082925
733	0.1069864854
734	0.1069564397
735	0.1069362159
736	0.1069161391
737	0.1068964698
738	0.1068810103
739	0.1068587811
740	0.1068378086
741	0.1068182392
742	0.1067920009
743	0.1067737313
744	0.1067505317
745	0.1067292983
746	0.106681871
747	0.1066449363
748	0.1066260773
749	0.1066069496
750	0.1065693835
751	0.1065434398
752	0.1065242365
753	0.106502747
754	0.1064766832
755	0.1064519658
756	0.1064296467
757	0.1064112397
758	0.1063901388
759	0.1063680694
760	0.1063472616
761	0.1063131628
762	0.1062844934
763	0.1062601985
764	0.1062411999
765	0.1062227177
766	0.1062035749
767	0.1061764613
768	0.1061547134
769	0.1061397373
770	0.1061187233
771	0.1060993695
772	0.1060785841
773	0.1060331483
774	0.1060101601
775	0.1059819096
776	0.105957471
777	0.1059368332
778	0.1059156443
779	0.1058959423
780	0.1058726929
781	0.105847381
782	0.1058279295
783	0.1058039864
784	0.1057866567
785	0.1057710241
786	0.1057399893
787	0.1057154154
788	0.1056959867
789	0.1056619426
790	0.1056443517
791	0.1056246319
792	0.1055822739
793	0.1055636633
794	0.1055362812
795	0.1055173413
796	0.1054996507
797	0.1054798172
798	0.1054578155
799	0.1054367079
800	0.1054171628
801	0.1053968309
802	0.1053757581
803	0.1053596914
804	0.1053269568
805	0.1053098176
806	0.1052914758
807	0.1052658874
808	0.1052381573
809	0.1052150685
810	0.1051923063
811	0.1051714802
812	0.1051432288
813	0.1051245367
814	0.1051053741
815	0.1050784643
816	0.1050598711
817	0.1050370593
818	0.1050106781
819	0.1049942074
820	0.1049708055
821	0.1049542282
822	0.1049309716
823	0.104904514
824	0.1048799496
825	0.1048607836
826	0.1048422343
827	0.104822128
828	0.1047960767
829	0.1047720862
830	0.1047535089
831	0.1047242612
832	0.1047073561
833	0.1046828752
834	0.104664859
835	0.1046484005
836	0.1046346828
837	0.104606374
838	0.1045837735
839	0.1045693369
840	0.1045121473
841	0.1044937937
842	0.1044762031
843	0.1044596444
844	0.1044148383
845	0.1043970506
846	0.1043791457
847	0.1043608433
848	0.1043434101
849	0.1043254747
850	0.1043058856
851	0.1042828024
852	0.1042622098
853	0.104245544
854	0.1042236427
855	0.1042046584
856	0.1041842285
857	0.1041700651
858	0.1041517777
859	0.1041166694
860	0.1040971401
861	0.1040686847
862	0.1040400249
863	0.1040208122
864	0.1040000038
865	0.103983842
866	0.1039546047
867	0.1039354871
868	0.1039195298
869	0.1039009685
870	0.1038814346
871	0.1038663379
872	0.1038459901
873	0.1038283695
874	0.1038028881
875	0.103778315
876	0.1037578968
877	0.1037280009
878	0.1037083655
879	0.1036873194
880	0.103673394
881	0.1036514871
882	0.1036365474
883	0.1036160039
884	0.1035990058
885	0.1035838142
886	0.1035591794
887	0.1035394249
888	0.103525198
889	0.1035097471
