iter	Passed	Remaining
0	75	75664
1	112	56229
2	150	49950
3	188	46938
4	226	45156
5	265	43916
6	301	42794
7	339	42066
8	376	41445
9	414	41060
10	452	40695
11	491	40459
12	528	40098
13	565	39841
14	601	39529
15	637	39190
16	675	39072
17	712	38880
18	748	38654
19	785	38491
20	823	38401
21	860	38243
22	896	38063
23	931	37889
24	969	37819
25	1007	37740
26	1044	37636
27	1081	37559
28	1118	37467
29	1155	37356
30	1189	37195
31	1225	37082
32	1265	37069
33	1312	37303
34	1360	37519
35	1399	37469
36	1434	37344
37	1468	37170
38	1503	37052
39	1538	36929
40	1571	36760
41	1605	36609
42	1638	36461
43	1673	36355
44	1716	36426
45	1751	36319
46	1785	36198
47	1819	36095
48	1853	35979
49	1887	35866
50	1921	35764
51	1953	35622
52	1990	35559
53	2024	35468
54	2056	35338
55	2089	35222
56	2125	35164
57	2157	35044
58	2190	34944
59	2223	34837
60	2256	34727
61	2291	34668
62	2328	34630
63	2363	34565
64	2398	34501
65	2431	34410
66	2468	34373
67	2502	34295
68	2538	34245
69	2571	34166
70	2606	34107
71	2641	34045
72	2676	33983
73	2707	33886
74	2744	33851
75	2778	33779
76	2810	33692
77	2847	33656
78	2881	33589
79	2919	33569
80	2992	33949
81	3024	33855
82	3058	33787
83	3088	33681
84	3119	33583
85	3157	33561
86	3191	33493
87	3225	33425
88	3257	33344
89	3292	33290
90	3327	33237
91	3361	33171
92	3397	33132
93	3430	33062
94	3464	33002
95	3495	32917
96	3530	32863
97	3566	32829
98	3601	32776
99	3634	32711
100	3670	32675
101	3704	32617
102	3740	32577
103	3774	32514
104	3808	32462
105	3842	32403
106	3875	32340
107	3909	32289
108	3941	32217
109	3975	32164
110	4007	32098
111	4041	32042
112	4075	31987
113	4108	31929
114	4140	31863
115	4175	31819
116	4207	31756
117	4240	31692
118	4278	31676
119	4314	31639
120	4347	31581
121	4381	31533
122	4414	31477
123	4446	31409
124	4479	31359
125	4514	31315
126	4547	31258
127	4584	31232
128	4616	31172
129	4654	31149
130	4686	31089
131	4720	31041
132	4754	30992
133	4786	30932
134	4819	30878
135	4852	30824
136	4885	30775
137	4919	30729
138	4952	30679
139	4984	30619
140	5017	30566
141	5051	30520
142	5083	30465
143	5115	30408
144	5150	30367
145	5184	30326
146	5216	30269
147	5249	30220
148	5281	30162
149	5314	30115
150	5349	30078
151	5380	30017
152	5414	29976
153	5447	29923
154	5481	29881
155	5514	29833
156	5548	29792
157	5579	29731
158	5612	29688
159	5646	29644
160	5682	29611
161	5713	29555
162	5750	29528
163	5794	29536
164	5827	29491
165	5861	29446
166	5892	29393
167	5926	29349
168	5960	29310
169	5993	29260
170	6025	29211
171	6059	29171
172	6093	29129
173	6129	29097
174	6161	29045
175	6195	29008
176	6232	28979
177	6265	28934
178	6300	28898
179	6334	28855
180	6367	28813
181	6404	28785
182	6437	28740
183	6472	28706
184	6506	28662
185	6537	28611
186	6573	28578
187	6610	28552
188	6642	28502
189	6675	28459
190	6708	28416
191	6744	28382
192	6778	28344
193	6813	28306
194	6848	28270
195	6896	28289
196	6950	28330
197	6984	28289
198	7015	28240
199	7052	28209
200	7084	28162
201	7118	28122
202	7150	28071
203	7182	28025
204	7219	27997
205	7253	27956
206	7288	27923
207	7324	27888
208	7358	27850
209	7391	27806
210	7424	27761
211	7458	27724
212	7493	27687
213	7524	27637
214	7559	27601
215	7593	27562
216	7626	27518
217	7659	27476
218	7692	27431
219	7725	27390
220	7760	27355
221	7797	27326
222	7832	27290
223	7865	27249
224	7900	27212
225	7936	27180
226	7970	27142
227	8003	27100
228	8037	27059
229	8073	27027
230	8106	26985
231	8140	26946
232	8173	26904
233	8209	26874
234	8243	26833
235	8275	26791
236	8308	26747
237	8341	26706
238	8374	26663
239	8408	26626
240	8444	26593
241	8478	26557
242	8513	26521
243	8546	26479
244	8579	26439
245	8612	26397
246	8643	26349
247	8678	26316
248	8712	26276
249	8743	26231
250	8777	26193
251	8812	26159
